Recency,Frequency,Monetary,Class
2,50,12500,1
0,13,3250,1
1,16,4000,1
2,20,5000,1
1,24,6000,0
4,4,1000,0
2,7,1750,1
1,12,3000,0
2,9,2250,1
5,46,11500,1
4,23,5750,0
0,3,750,0
2,10,2500,1
1,13,3250,0
2,6,1500,1
2,5,1250,1
2,14,3500,1
2,15,3750,1
2,6,1500,1
2,3,750,1
2,3,750,1
4,11,2750,0
2,6,1500,1
2,6,1500,1
9,9,2250,0
4,14,3500,0
4,6,1500,0
4,12,3000,1
4,5,1250,1
4,8,2000,0
1,14,3500,0
4,10,2500,1
4,10,2500,1
4,9,2250,1
2,16,4000,0
2,8,2000,1
2,12,3000,1
4,6,1500,1
2,14,3500,1
4,7,1750,1
2,13,3250,1
2,5,1250,0
2,5,1250,1
2,5,1250,0
4,20,5000,1
4,9,2250,1
2,9,2250,0
2,2,500,0
2,2,500,0
2,2,500,0
2,11,2750,0
2,11,2750,1
2,6,1500,0
2,12,3000,0
4,5,1250,1
4,19,4750,1
4,8,2000,1
2,7,1750,1
2,16,4000,0
3,6,1500,0
2,7,1750,0
2,8,2000,1
2,10,2500,0
4,5,1250,1
2,3,750,1
3,16,4000,0
2,4,1000,1
0,2,500,0
4,7,1750,0
1,9,2250,0
2,4,1000,0
2,4,1000,0
4,17,4250,1
2,2,500,0
2,2,500,1
2,2,500,1
2,4,1000,1
2,2,500,0
2,2,500,0
2,2,500,0
4,6,1500,1
2,4,1000,0
2,4,1000,0
2,4,1000,0
2,6,1500,1
2,6,1500,0
4,2,500,0
4,2,500,0
4,2,500,0
2,7,1750,1
4,2,500,1
4,2,500,0
4,2,500,0
4,2,500,0
12,11,2750,0
4,7,1750,0
3,17,4250,0
4,9,2250,1
4,4,1000,1
5,7,1750,1
4,8,2000,1
2,13,3250,1
4,9,2250,0
2,5,1250,0
2,5,1250,0
6,17,4250,0
0,8,2000,0
3,5,1250,0
2,3,750,0
2,10,2500,0
4,5,1250,1
4,9,2250,0
4,5,1250,0
4,8,2000,1
2,12,3000,0
11,24,6000,0
2,7,1750,1
4,11,2750,0
1,7,1750,0
2,11,2750,1
2,3,750,1
4,5,1250,1
2,6,1500,1
2,5,1250,1
2,4,1000,0
2,5,1250,0
4,8,2000,1
2,4,1000,0
4,8,2000,1
2,2,500,1
4,5,1250,0
2,12,3000,0
2,2,500,0
4,6,1500,0
2,11,2750,0
2,3,750,0
2,5,1250,0
2,12,3000,0
9,5,1250,0
2,2,500,0
2,9,2250,0
5,14,3500,0
4,3,750,0
4,3,750,0
4,2,500,1
4,3,750,1
6,3,750,0
2,2,500,0
2,2,500,1
2,2,500,0
2,7,1750,1
4,6,1500,0
4,11,2750,0
2,1,250,1
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,1
2,1,250,1
2,1,250,1
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
11,10,2500,0
11,4,1000,1
4,5,1250,1
4,6,1500,1
2,3,750,0
4,4,1000,1
10,4,1000,0
2,4,1000,0
4,12,3000,0
13,8,2000,0
11,9,2250,0
4,5,1250,0
4,4,1000,0
8,15,3750,0
4,5,1250,1
4,7,1750,0
4,7,1750,0
2,4,1000,0
11,11,2750,0
2,2,500,0
2,5,1250,1
9,8,2000,1
4,6,1500,0
11,7,1750,0
9,9,2250,0
4,6,1500,0
4,7,1750,0
6,2,500,1
4,7,1750,0
11,9,2250,0
11,6,1500,0
2,2,500,0
2,7,1750,0
11,6,1500,0
11,3,750,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,1
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,1
4,1,250,1
4,1,250,0
4,1,250,1
4,1,250,1
4,1,250,0
4,3,750,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,1
4,1,250,0
10,8,2000,0
14,7,1750,0
8,10,2500,0
11,3,750,0
4,2,500,0
2,4,1000,0
8,9,2250,0
8,8,2000,1
11,22,5500,0
4,3,750,1
11,17,4250,1
9,2,500,0
4,5,1250,0
11,12,3000,0
7,12,3000,0
11,2,500,0
11,2,500,0
11,2,500,0
2,6,1500,0
11,8,2000,1
11,3,750,1
12,13,3250,0
2,3,750,0
16,8,2000,0
11,7,1750,0
4,3,750,0
12,12,3000,0
4,4,1000,0
11,14,3500,1
2,2,500,0
2,3,750,1
4,5,1250,0
4,4,1000,1
3,2,500,0
11,8,2000,0
4,7,1750,0
13,4,1000,0
16,11,2750,0
16,7,1750,0
7,2,500,0
4,5,1250,0
4,5,1250,0
4,4,1000,0
14,13,3250,0
4,3,750,0
14,18,4500,0
11,8,2000,0
14,16,4000,0
14,4,1000,1
14,5,1250,0
8,2,500,0
11,5,1250,0
11,2,500,0
4,2,500,0
9,2,500,1
14,5,1250,1
14,3,750,1
14,4,1000,1
16,12,3000,0
11,4,1000,0
11,5,1250,0
11,5,1250,0
2,4,1000,0
14,5,1250,0
14,2,500,0
14,2,500,0
14,2,500,0
14,2,500,0
14,2,500,0
14,2,500,0
2,3,750,0
14,6,1500,0
11,5,1250,1
4,5,1250,0
11,3,750,0
16,4,1000,0
16,3,750,0
11,5,1250,0
11,2,500,0
12,9,2250,0
9,1,250,0
9,1,250,0
4,2,500,0
11,2,500,0
14,4,1000,0
11,9,2250,1
11,5,1250,0
15,16,4000,0
9,5,1250,1
11,4,1000,0
14,8,2000,1
16,7,1750,0
14,2,500,0
2,2,500,0
14,16,4000,0
14,4,1000,1
16,7,1750,0
14,7,1750,0
16,6,1500,0
16,6,1500,1
11,7,1750,1
16,2,500,0
16,3,750,1
11,3,750,0
11,7,1750,0
11,1,250,1
9,3,750,0
14,4,1000,0
23,38,9500,0
11,6,1500,0
11,1,250,0
11,1,250,0
11,1,250,0
11,1,250,0
11,1,250,0
11,1,250,0
11,1,250,0
11,1,250,0
11,2,500,0
11,5,1250,0
11,2,500,0
16,4,1000,0
4,2,500,0
16,6,1500,0
14,3,750,0
9,2,500,0
21,16,4000,0
14,6,1500,0
11,2,500,0
4,3,750,0
21,13,3250,0
11,6,1500,0
14,2,500,1
23,15,3750,0
14,4,1000,0
11,2,500,0
16,5,1250,1
4,2,500,1
14,3,750,0
4,2,500,0
9,4,1000,0
14,4,1000,0
11,3,750,1
14,5,1250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,7,1750,0
14,1,250,0
14,1,250,0
9,3,750,0
14,7,1750,0
11,4,1000,0
11,4,1000,0
4,2,500,0
11,4,1000,0
16,4,1000,0
16,10,2500,0
21,2,500,1
21,3,750,0
16,8,2000,0
21,3,750,1
18,2,500,0
23,5,1250,0
23,8,2000,0
16,3,750,0
14,5,1250,0
14,3,750,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
16,4,1000,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
16,2,500,0
21,2,500,0
16,2,500,0
21,2,500,0
21,2,500,0
14,4,1000,0
16,5,1250,0
23,2,500,0
14,5,1250,0
23,3,750,0
16,3,750,0
9,2,500,0
9,2,500,0
16,7,1750,1
14,4,1000,0
14,2,500,0
16,7,1750,0
21,2,500,0
14,3,750,0
23,14,3500,0
18,8,2000,0
16,3,750,0
11,3,750,0
11,2,500,0
11,3,750,0
23,12,3000,0
21,3,750,0
23,2,500,0
23,2,500,0
23,8,2000,0
16,3,750,0
23,3,750,0
21,3,750,0
23,2,500,0
21,1,250,0
21,1,250,0
21,1,250,0
21,1,250,0
21,1,250,0
21,1,250,0
21,1,250,0
21,1,250,0
21,1,250,0
21,1,250,1
21,1,250,0
21,1,250,0
21,5,1250,0
23,4,1000,0
21,4,1000,0
22,1,250,1
11,2,500,0
23,5,1250,0
23,3,750,0
23,3,750,0
14,3,750,0
21,2,500,0
26,5,1250,1
23,6,1500,0
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,4,1000,0
21,6,1500,0
23,3,750,0
21,2,500,0
21,3,750,0
16,2,500,0
21,3,750,0
23,4,1000,0
23,3,750,0
23,2,500,0
35,3,750,0
38,1,250,0
38,1,250,0
40,1,250,0
74,1,250,0
2,43,10750,1
6,22,5500,1
2,34,8500,1
2,44,11000,0
0,26,6500,1
2,41,10250,1
3,21,5250,1
2,11,2750,0
2,21,5250,1
2,13,3250,1
4,4,1000,1
2,11,2750,0
2,11,2750,0
3,14,3500,0
4,16,4000,1
4,6,1500,0
3,5,1250,1
4,33,8250,1
3,10,2500,1
4,10,2500,1
2,11,2750,1
2,11,2750,1
4,13,3250,1
1,10,2500,1
4,9,2250,0
2,4,1000,0
2,5,1250,1
2,15,3750,0
5,24,6000,0
2,6,1500,1
4,5,1250,1
2,4,1000,1
4,8,2000,0
2,4,1000,0
2,6,1500,0
4,5,1250,1
2,7,1750,1
2,6,1500,1
2,8,2000,1
2,2,500,1
2,6,1500,1
2,10,2500,0
4,16,4000,1
4,2,500,1
1,14,3500,0
4,2,500,1
7,14,3500,0
2,3,750,0
2,12,3000,1
4,7,1750,1
4,4,1000,0
2,6,1500,1
4,6,1500,1
2,3,750,0
2,4,1000,0
4,4,1000,0
5,6,1500,0
4,6,1500,0
14,5,1250,0
3,8,2000,0
4,11,2750,1
4,9,2250,0
4,16,4000,1
7,10,2500,0
4,14,3500,0
2,9,2250,0
4,6,1500,0
4,9,2250,0
4,6,1500,1
2,6,1500,0
2,6,1500,0
4,2,500,0
2,2,500,1
2,2,500,0
2,2,500,1
4,6,1500,1
3,4,1000,1
9,9,2250,0
11,5,1250,0
2,3,750,0
2,1,250,0
2,1,250,1
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,1
2,1,250,0
2,1,250,0
2,1,250,0
2,1,250,0
11,11,2750,0
2,3,750,0
9,11,2750,1
5,11,2750,0
3,5,1250,0
3,1,250,1
4,6,1500,0
2,3,750,0
12,11,2750,0
2,2,500,0
4,6,1500,0
9,3,750,0
14,8,2000,0
4,2,500,0
4,11,2750,0
2,7,1750,0
2,7,1750,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,1
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,0
4,1,250,1
4,1,250,0
4,7,1750,0
4,1,250,0
4,4,1000,1
11,6,1500,0
13,3,750,1
7,5,1250,0
9,9,2250,0
11,2,500,0
2,5,1250,0
7,11,2750,0
8,9,2250,0
2,2,500,0
6,3,750,0
12,15,3750,0
13,3,750,0
11,16,4000,0
4,5,1250,0
14,7,1750,0
11,4,1000,0
7,9,2250,1
11,8,2000,1
7,5,1250,0
11,6,1500,0
10,5,1250,0
14,2,500,1
14,2,500,0
14,2,500,0
2,2,500,0
11,3,750,0
14,8,2000,0
9,1,250,0
16,5,1250,0
14,4,1000,0
4,2,500,0
14,3,750,0
16,16,4000,0
4,2,500,0
14,8,2000,0
11,3,750,0
14,7,1750,0
15,5,1250,0
16,2,500,0
16,3,750,0
11,8,2000,0
11,1,250,0
11,1,250,0
11,1,250,0
11,1,250,1
11,1,250,0
2,3,750,1
2,3,750,0
16,4,1000,0
16,15,3750,0
16,14,3500,0
16,10,2500,0
16,3,750,0
14,3,750,0
23,19,4750,0
11,7,1750,0
14,3,750,0
20,14,3500,1
4,2,500,0
11,2,500,0
11,3,750,0
16,4,1000,0
21,7,1750,0
13,7,1750,0
16,6,1500,0
14,3,750,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
14,1,250,0
17,7,1750,1
14,3,750,0
14,3,750,0
16,7,1750,0
21,2,500,0
16,3,750,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
16,1,250,0
14,2,500,0
11,4,1000,0
11,2,500,1
21,6,1500,0
23,2,500,0
23,6,1500,0
14,2,500,1
16,6,1500,0
16,4,1000,0
16,5,1250,0
21,2,500,0
21,3,750,0
21,3,750,0
23,8,2000,0
21,3,750,0
23,3,750,0
21,3,750,0
23,2,500,0
21,1,250,0
21,1,250,0
25,6,1500,0
21,1,250,0
21,1,250,0
23,3,750,0
21,2,500,0
14,3,750,0
23,1,250,1
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,1,250,0
23,4,1000,0
23,1,250,0
23,7,1750,0
16,3,750,0
23,2,500,0
21,2,500,0
23,3,750,0
39,1,250,0
72,1,250,0
